"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",35.1833983263656,0.999448720550253,0.330698512923383,3.02223530343424,0.00250915419924885,0.0239288934804133
"A1BG-AS1",41.0847244727512,0.874322700409775,0.350371677721425,2.49541488654495,0.0125809933617998,0.0683598919266184
"A1CF",13.4264258870643,-1.79435098722561,0.809835848422975,-2.21569715729406,0.0267122497262271,0.11102926148883
"A2M",6947.65292194257,-0.509352049291941,0.395250270363477,-1.28868235516584,0.197508539209189,0.391366100586754
"A2M-AS1",139.551656520997,-0.814256969244001,0.39494519471524,-2.06169610401537,0.039236677732045,0.142167494302815
"A2ML1",303.610674078091,-2.59152743448983,0.691368642075265,-3.74840175960383,0.000177965019480921,0.0037937896895867
"A2MP1",7.47800320739711,-2.0130591934503,0.677371032986429,-2.97187079963402,0.00295991213639331,0.0266570630706718
"A3GALT2",1.37220590187357,0.70062961981197,0.898140513500663,0.780089094390299,0.435338435139299,0.632131391920164
"A4GALT",74.3807049978908,0.863974541951442,0.306591717173216,2.81799700891241,0.00483242600128908,0.0370276020277582
"A4GNT",2.07407037750351,0.560368280051004,0.788077102798941,0.711057684661559,0.477048490498764,0.665714974090104
"AA06",0.242311938470691,0.132566879323167,0.673397874347835,0.196862634072841,0.843935035115654,NA
"AAAS",162.05750026594,0.772308751959216,0.202388609444236,3.8159694563839,0.000135649284668201,0.00319297680913008
"AACS",238.160453904812,0.124650199544831,0.323078587169147,0.385820058943031,0.699629938480075,0.828763720052647
"AACSP1",5.81436194820582,-0.0938698603638933,0.811776503441843,-0.115635103955209,0.907941740582419,0.952220470793954
"AADAC",22.2911312653545,-2.10774330252266,0.898184172821699,-2.34667161401993,NA,NA
"AADACL2",4.34624838871536,0.292105802122246,0.791711421320352,0.368954892219561,0.712161347129718,0.836732541119246
"AADACL2-AS1",4.67794791450781,0.310663947077823,0.779932846178717,0.398321404977265,0.690393284207583,0.822764584936779
"AADACL3",4.44277848491848,2.44639363618108,0.85284419707008,2.86851179217211,0.00412407824948439,0.0334130262205319
"AADACL4",2.62007686667989,2.06938149208429,0.85981258494315,2.40678204567234,0.0160937714853275,0.0799319006931456
"AADACP1",1.02730924121248,-0.522129593282193,0.896572491598413,-0.582361825925909,0.560322989013775,NA
"AADAT",34.3355603548717,-0.0898529824551118,0.45912365705608,-0.195705407626461,0.844840751587329,0.916720630732451
"AAED1",89.0765115024806,0.326506586441112,0.324753996007876,1.00539667087944,0.314705882272439,0.521940111290849
